ledger,snapshot_date,entropy,hhi,max_power_ratio,total_entities,theil_index
tezos-mirror,2023-09-10,1.4639529576697097,5734.0,0.75,8,1.064706676598684
tezos-mirror,2023-09-13,0.6453556861713613,7974.0,0.89,4,0.9389678867918827
tezos-mirror,2023-09-15,0.8670730006443816,7452.0,0.86,6,1.1907502634917497
tezos-mirror,2023-09-19,0.24194073285321088,9412.0,0.97,4,1.2185938242800807
tezos-mirror,2023-09-20,0.24229218908241482,9232.0,0.96,2,0.5252030328257723
tezos-mirror,2023-09-21,0.16144054254182066,9606.0,0.98,3,0.9867102317771789
tezos-mirror,2023-09-24,0.8532047811652536,7460.0,0.86,6,1.2003629807230942
tezos-mirror,2023-09-27,0.8961322095473073,7288.0,0.85,5,0.9882863979774301
tezos-mirror,2023-10-02,1.0631146709662613,6816.0,0.82,7,1.2090152122631355
tezos-mirror,2023-10-04,0.5470814401590035,8484.0,0.92,5,1.2302299546512123
tezos-mirror,2023-10-08,0.22194073285321086,9414.0,0.97,3,0.9447746954394983
tezos-mirror,2023-10-10,0.0,10000.0,1.0,1,0.0
tezos-mirror,2023-10-12,0.16144054254182066,9606.0,0.98,3,0.9867102317771789
tezos-mirror,2023-10-14,0.4073407454009861,8686.0,0.93,3,0.8162651994662293
tezos-mirror,2023-10-17,0.08079313589591118,9802.0,0.99,2,0.637145646205098
tezos-mirror,2023-10-19,0.08079313589591118,9802.0,0.99,2,0.637145646205098
tezos-mirror,2023-10-22,0.14144054254182067,9608.0,0.98,2,0.5951080672802133
tezos-mirror,2023-10-25,0.9974757117135079,6976.0,0.83,6,1.100361991976812
tezos-mirror,2023-10-26,0.2747433140607801,9226.0,0.96,3,0.9081747351491843
tezos-mirror,2023-10-29,0.14144054254182067,9608.0,0.98,2,0.5951080672802133
tezos-mirror,2023-11-01,0.0,10000.0,1.0,1,0.0
tezos-mirror,2023-11-03,0.4824384954442553,8668.0,0.93,5,1.2750370295233329
tezos-mirror,2023-11-07,0.08079313589591118,9802.0,0.99,2,0.637145646205098
tezos-mirror,2023-11-09,0.5411884030780175,8168.0,0.9,3,0.7234890729228426
tezos-mirror,2023-11-12,0.4364698170641029,8362.0,0.91,2,0.3906093574624473
tezos-mirror,2023-11-14,0.4263420906998873,8678.0,0.93,3,0.8030944705454499
tezos-mirror,2023-11-15,1.1757682772690106,5434.0,0.7,4,0.5713138947390519
tezos-mirror,2023-11-16,0.08079313589591118,9802.0,0.99,2,0.637145646205098
tezos-mirror,2023-11-20,0.08079313589591118,9802.0,0.99,2,0.637145646205098
tezos-mirror,2023-11-22,0.7125734617567772,7146.0,0.83,3,0.6046940027095594
tezos-mirror,2023-11-24,0.08079313589591118,9802.0,0.99,2,0.637145646205098
tezos-mirror,2023-11-27,0.24229218908241482,9232.0,0.96,2,0.5252030328257723
tezos-mirror,2023-11-29,0.0,10000.0,1.0,1,0.0
